year,GDP
1971,49204456700
1972,58539008786
1973,79279057731
1974,1.05136E+11
1975,1.23709E+11
1976,1.52678E+11
1977,1.76171E+11
1978,2.00801E+11
1979,2.24969E+11
1980,2.35025E+11
1981,2.63561E+11
1982,2.81682E+11
1983,2.03305E+11
1984,2.09024E+11
1985,2.22943E+11
1986,2.68137E+11
1987,2.94084E+11
1988,3.30397E+11
1989,4.25595E+11
1990,4.61952E+11
1991,6.0286E+11
1992,4.00599E+11
1993,4.37799E+11
1994,5.58112E+11
1995,7.69305E+11
1996,8.50426E+11
1997,8.832E+11
1998,8.63723E+11
1999,5.99389E+11
2000,6.55421E+11
2001,5.59372E+11
2002,5.07962E+11
2003,5.5832E+11
2004,6.69317E+11
2005,8.9163E+11
2006,1.10764E+12
2007,1.39708E+12
2008,1.69582E+12
2009,1.66702E+12
2010,2.20887E+12
2011,2.6162E+12
2012,2.46519E+12
2013,2.47281E+12
2014,2.45599E+12
2015,1.80221E+12
2016,1.7957E+12
2017,2.06283E+12
2018,1.88548E+12
2019,1.83976E+12
2020,
