Name,Beginning,End
Jair Bolsonaro,2019,2021
Michel Temer,2016,2018
Dilma Rousseff,2011,2016
Luiz Inácio Lula da Silva,2003,2011
Fernando Henrique Cardoso,1995,2002
Itamar Franco,1992,1995
Fernando Collor de Mello,1990,1992
José Sarney,1985,1990
João Figueiredo,1979,1985
Ernesto Geisel,1974,1979
Emílio Garrastazu Médici,1969,1974
Military Junta,1969,1969
Artur da Costa e Silva,1967,1969
Humberto Castelo Branco,1964,1967
Ranieri Mazzilli,1964,1964
João Goulart,1961,1964
Ranieri Mazzilli,1961,1961
Jânio Quadros,1961,1961
Juscelino Kubitschek,1956,1961
Nereu Ramos,1955,1956
Carlos Luz,1955,1955
Café Filho,1954,1955
Getúlio Vargas,1951,1954
Eurico Gaspar Dutra,1946,1951
José Linhares,1945,1946
Getúlio Vargas,1934,1945
Military Junta,1930,1930
Washington Luís,1926,1930
Arthur Bernardes,1922,1926
Epitácio Pessoa,1919,1922
Delfim Moreira,1918,1919
Venceslau Brás,1914,1918
Hermes da Fonseca,1910,1914
Nilo Peçanha,1909,1910
Afonso Pena,1906,1909
Rodrigues Alves,1902,1906
